GEO_UID,Visible_minority%,Immigrants%,Canadian_citizens%,Housing_Renter%,Housing_Owner%,Native_english/french_speaker%,Martial_status_Married%,Single-detached_house%,Highrise_condo%,Movable_dwelling%,Avg_household_size,Age_0_14%,Age_15_64%,Age_65%,Age_avg
59150004,0.190217391,0.258152174,0.923913043,0.081521739,0.366847826,1,0.597826087,0.465116279,0,0,2.4,0.081521739,0.679347826,0.244565217,48.1
59150005,0.109343936,0.218687873,0.914512922,0.119284294,0.328031809,0.994035785,0.457256461,0.294117647,0,0,2.5,0.159045726,0.685884692,0.149105368,41.9
59150006,0.196759259,0.300925926,0.972222222,0.185185185,0.277777778,1,0.509259259,0.625,0.225,0,2.2,0.150462963,0.625,0.208333333,46.7
59150007,0.091575092,0.311355311,0.924908425,0.036630037,0.347985348,0.943223443,0.622710623,0.882352941,0,0,2.5,0.10989011,0.613553114,0.283882784,49.1
59150008,0.14261745,0.394295302,0.981543624,0.033557047,0.377516779,1,0.604026846,0.850202429,0,0,2.7,0.167785235,0.57885906,0.268456376,47.4
59150009,0.162907268,0.37593985,0.814536341,0.037593985,0.288220551,0.989974937,0.551378446,0.839160839,0,0,3,0.137844612,0.651629073,0.200501253,42.9
59150010,0.126353791,0.282791817,0.818291215,0.030084236,0.312876053,0.890493381,0.589651023,0.891719745,0,0,2.8,0.150421179,0.631768953,0.216606498,44.7
59150012,0.33203125,0.33203125,0.751953125,0.01953125,0.3125,0.869140625,0.595703125,0.824175824,0,0,2.9,0.15625,0.634765625,0.205078125,43.8
59150013,0.277777778,0.333333333,0.958333333,0.027777778,0.291666667,1,0.569444444,0.860655738,0,0,3,0.152777778,0.666666667,0.180555556,42.4
59150014,0.453271028,0.528037383,0.841121495,0.03271028,0.355140187,0.976635514,0.626168224,0.307692308,0.32967033,0,2.6,0.107476636,0.607476636,0.285046729,48.2
59150015,0.212121212,0.242424242,0.909090909,0.02020202,0.323232323,1,0.545454545,0.888888889,0,0,3,0.202020202,0.626262626,0.181818182,40.8
59150016,0.302663438,0.351089588,0.823244552,0.04842615,0.290556901,1,0.520581114,0.872483221,0,0,3.1,0.266343826,0.605326877,0.133171913,38.5
59150017,0.248344371,0.331125828,0.745033113,0.033112583,0.331125828,0.894039735,0.562913907,0.826446281,0,0,2.7,0.165562914,0.629139073,0.198675497,43.6
59150018,0.240295749,0.369685767,0.887245841,0.073937153,0.314232902,0.970425139,0.573012939,0.790598291,0,0,2.5,0.129390018,0.563770795,0.304990758,48.3
59150019,0.050251256,0.259631491,0.720268007,0.033500838,0.309882747,0.829145729,0.569514238,0.840909091,0,0,2.8,0.209380235,0.577889447,0.217755444,43.1
